Date,Target,Blaster,Darts,Distance,Person,0,1,2,3,4,5,6,7,8,9
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,0,0,0
